Nr,Opcja,Poprawna
,"SELECT ename MIN(sal), deptno FROM emp GROUP BY deptno)",
70,"Wskazać poprawne zapytanie SQL znajdujące pracowników, których zarobki są wyższe od pensji każdego pracownika z departamentu 30. - (2)"
,"SELECT ename, sal, job, deptno FROM emp WHERE sal> ALL (SELECT DISTINCT sal FROM emp WHERE deptno = 30);",+
,"SELECT ename, sal, job, deptno FROM emp WHERE sal> (SELECT Max( sal) FROM emp WHERE deptno = 30);",+
,"SELECT ename, sal, job, deptno FROM emp WHERE sal> ANY (SELECT DISTINCT sal FROM emp WHERE deptno = 30);",
,"SELECT ename, sal, job, deptno FROM emp WHERE sal> (SELECT Min( sal) FROM emp WHERE deptno = 30);",
71,Wskazać poprawne zapytanie SQL znajdujące stanowiska pracy występujące w działach 10 lub 20. - (5)
,SELECT DISTINCT job FROM emp WHERE deptno = 10 OR deptno = 20,+
,SELECT DISTINCT job FROM emp WHERE deptno = 10 UNION SELECT DISTINCT job FROM emp WHERE deptno = 20,+
,SELECT DISTINCT job FROM emp WHERE deptno = 10 AND deptno = 20,
,SELECT DISTINCT job FROM emp WHERE deptno = 10 INTERSECT SELECT DISTINCT job FROM emp WHERE deptno = 20,
72,Wskazać poprawne zapytanie SQL znajdujące stanowiska pracy występujące zarówno w dziale 10 jak i w dziale 20. - (5)
,SELECT DISTINCT job FROM emp WHERE deptno = 10 INTERSECT SELECT DISTINCT job FROM emp WHERE deptno = 20,+
,SELECT DISTINCT job FROM emp WHERE deptno = 10 OR deptno = 20,
,SELECT DISTINCT job FROM emp WHERE deptno = 10 UNION SELECT DISTINCT job FROM emp WHERE deptno = 20,
,SELECT DISTINCT job FROM emp WHERE deptno = 10 AND deptno = 20,
73,"Wskazać poprawne zapytanie SQL znajdujące pracowników, którzy zarabiają mniej od swoich kierowników. - (0)"
,"SELECT e.ename prac_name, e.sal prac_sal, m.ename kier_name, m.sal kier_sal FROM emp e, emp m WHERE e.mgr = m.empno AND e.sal < m.sal",+
,"SELECT e.ename prac_name, e.sal prac_sal, m.ename kier_name, m.sal kier_sal FROM emp e, emp m WHERE e.mgr = m.empno AND m.sal < e.sal",
,"SELECT e.ename prac_name, e.sal prac_sal, m.ename kier_name, m.sal kier_sal FROM emp e, emp m WHERE e.mgr = m.mgr AND e.sal < m.sal",
,"SELECT e.ename prac_name, e.sal prac_sal, m.ename kier_name, m.sal kier_sal FROM emp e, emp m WHERE e.mgr = m.mgr AND m.sal < e.sal",
74,"Wskazać poprawne zapytanie SQL znajdujące średnie zarobki tylko tych departamentów, które zatrudniają więcej niż trzech pracowników. - (10)"
,"SELECT deptno, AVG(sal) FROM emp GROUP BY deptno HAVING COUNT (*) > 3;",+
,"SELECT deptno, AVG(sal) FROM emp HAVING COUNT (*) > 3;GROUP BY deptno ;",+
,"SELECT deptno, AVG(sal) FROM emp GROUP BY deptno WHERE COUNT (*) > 3;",
,"SELECT deptno, AVG(sal) FROM emp WHERE COUNT (*) > 3;GROUP BY deptno ;",
75,"Wskazać poprawne zapytanie SQL znajdujące stanowiska, na których średni zarobek wynosi 3000 lub więcej. - (5)"
,"SELECT job, AVG(sal) FROM emp GROUP BY job HAVING AVG (sal) > =3000;",+
,"SELECT job, AVG(sal) FROM emp HAVING AVG (sal) > =3000GROUP BY job;",+
,"SELECT job, AVG(sal) FROM emp GROUP BY job WHERE AVG (sal) > =3000;",
,"SELECT job, AVG(sal) FROM emp WHERE AVG (sal) > =3000 GROUP BY job;",
76,Wskazać poprawne zapytanie SQL znajdujące departamenty zatrudniające powyżej trzech pracowników - (4)
,"SELECT deptno, COUNT(*) FROM emp GROUP BY deptno HAVING COUNT (*) > 3;",+
,"SELECT deptno, COUNT(*) FROM emp HAVING COUNT (*) > 3 GROUP BY deptno;",+
,"SELECT deptno, COUNT(*) FROM emp GROUP BY deptno WHERE COUNT (*) > 3;",
,"SELECT deptno, COUNT(*) FROM emp WHERE COUNT (*) > 3 GROUP BY deptno;",
77,Wskazać poprawne zapytanie SQL znajdujące ilość pracowników w dziale mającym siedzibę w DALLAS. - (8)
,"SELECT COUNT (*) FROM emp, dept WHERE dept.loc = 'DALLAS' AND emp.deptno = dept.deptno GROUP BY dept.deptno;",+
,SELECT COUNT (*) FROM emp WHERE deptno = (SELECT deptno FROM dept WHERE .loc = 'DALLAS'),+
,"SELECT COUNT (*) FROM emp, dept WHERE dept.loc = 'DALLAS' GROUP BY dept.deptno;",
,"SELECT COUNT (*) FROM emp, dept WHERE emp.deptno = dept.deptno GROUP BY dept,deptno HAVING dept.loc = 'DALLAS';",
78,Wskazać poprawne zapytanie SQL znajdujące średni zarobek pracowników z drugiej klasy zarobkowej. - (11)
,"SELECT AVG(sal ) FROM emp, salgrade WHERE.grade = 2 AND sal BETWEEN losal AND hisal GROUP BY.grade",+
,"SELECT AVG(sal ) FROM emp, salgrade WHERE.grade = 2 AND sal > losal AND sal < hisal GROUP BY.grade",+
,"SELECT AVG(sal ) FROM emp, WHERE sal > (SELECT losal FROM salgrade WHERE.grade = 2) AND sal < (SELECT hisal FROM salgrade WHERE.grade = 2)",+
,"SELECT AVG(sal ) FROM emp, salgrade WHERE.grade = 2 AND sal BETWEEN losal AND hisal ;",+
79,Wskazać poprawne zapytanie SQL znajdujące trzech najlepiej zarabiających pracowników w firmie - ich nazwiska i pensje. - (0)
,"SELECT ename, sal FROM emp e WHERE 3 > (SELECT count (*) FROM emp WHERE e.sal < sal);",+
,"SELECT ename, sal FROM emp e WHERE count(*)<3",
,"SELECT ename, sal FROM emp e GROUP BY.deptno HAVING count(*)<3",
80,W bloku PL/SQL występują: - (2)
,"deklaracje klas,",
,"sekcja wyjątków,",+
,"instrukcje SQL,",+
,instrukcje SQL*Plus.,
81,Wśród instrukcji występujących w bloku PL/SQL mogą się znaleźć: - (5)
,"instrukcje SQL*Plus,",
,"deklaracje zmiennych,",+
,"instrukcja CREATE TABLE,",
,instrukcja COMMIT.,+
82,Wśród instrukcji występujących w bloku PL/SQL mogą się znaleźć: - (4)
,"instrukcja SET SERVEROUTPUT ON,",
,"instrukcja CREATE TABLE,",
,"instrukcja DBMS_OUTPUT.PUT_LINE('Początek transakcji'),",+
,instrukcja ROLLBACK.,+
83,Wśród instrukcji występujących w bloku PL/SQL mogą się znaleźć: - (8)
,"instrukcja warunkowa,",+
,"instrukcja CREATE TABLE,",
,"instrukcja SELECT Table_Name FROM User_Tables,",
,instrukcja ROLLBACK.,+
84,Wśród instrukcji występujących w bloku PL/SQL mogą się znaleźć: - (4)
,"podniesienie wyjątku,",+
,"deklaracje wyjątków,",+
,"instrukcja SELECT * FROM Osoby,",
,instrukcja ROLLBACK.,+
85,Kursor w PL/SQL jest to: - (9)
,"rodzaj procedury,",
,"nazwana instrukcja SQL,",
,"obszar roboczy używany do wykonania instrukcji SQL,",+
,narzędzie do podnoszenia wyjątków.,
86,Czy definicja kursora w PL/SQL może dotyczyć instrukcji: - (0)
,"INSERT,",
,"SELECT,",+
,"DELETE,",
,UPDATE.,
87,Nazwa kursora może się pojawić w następujących kontekstach: - (0)
,"OPEN nazwa_kursora,",+
,"SELECT nazwa_kursora,",
,"EXIT WHEN nazwa_kursora%NOTFOUND,",+
,GOTO nazwa_kursora.,
88,Klauzula WHERE CURRENT OF nazwa_kursora może wystąpić w instrukcji: - (0)
,"SELECT,",
,"INSERT,",
,"DELETE,",+
,UPDATE.,+
89,Nazwa wyjątku może się pojawić w następujących kontekstach; - (0)
,"w instrukcji przypisania,",
,"w definicji kursora,",
,"w instrukcji RAISE,",+
,"po słowie kluczowym WHEN,",+
90,Trigger (wyzwalacz) tabelowy może zostać uruchomiony: - (5)
,przed operacją na tabeli,+
,po operacji na tabeli,+
,bez związku z operacjami na tabeli,
,przed i po operacji na tabeli,
91,Dla każdej tabeli można określić - (2)
,maksymalnie 2 typy wyzwalaczy,
,maksymalnie 12 typów wyzwalaczy,+
,maksymalnie 12 wyzwalaczy,
,dowolną ilość wyzwalaczy,+
92,Polecenia ROLLBACK i COMMIT dotyczą poleceń SQL - (1)
,"tylko INSERT, UPDATE, SELECT",
,"tylko INSERT, UPDATE, SELECT, DELETE",
,"tylko SELECT, INSERT, UPDATE, SELECT, DELETE",
,wszystkich poleceń SQL zmieniających zawartość tabel,+
93,W PL/SQL wynik działania instrukcji SELECT może zostać zapisany w postaci - (3)
,tabeli,
,kursora,+
,perspektywy,
,zmiennej,+
94,"Klauzula ""DECLARE Dane_Osoby Osoba%ROWTYPE"" jest w PL/SQL - (5)"
,deklaracją zmiennej,
,deklatracją nowego rekordu,
,deklaracją nowego typu zmiennej,
,deklaracją zmiennej wraz z definicją jej typu,+
95,Kursor w PL/SQL to - (0)
,typ zmiennej,
,rodzaj procedury,
,obiekt o określonych właściwościach i metodach,+
,funkcja debuggera,
96,Instrukcja FETCH jest używana w kursorze PL/SQL w celu - (6)
,przejścia do następnego rekordu,+
,pobrania zawartości rekordu ze źródła danych,+
,przejścia do następnego rekordu i usunięcia poprzedniego rekordu,
,pobrania zawartości rekordu ze źródła danych i przejścia do następnego rekordu,+
97,Funkcja NVL służy do - (1)
,"Zamiany napotkanej w tabeli wartości ""NULL"" na zero",
,"Zamiany napotkanej w tabeli wartości z ""NULL"" na podaną w argumencie wartość",+
,"Zamiany wartości zmiennej z ""NULL"" na podaną w argumencie wartość",+
,"Zamiany wartości podanej w argumencie zmiennej lub komórki perspektywy z ""NULL"" na podaną w drugim argumencie wartość",
98,"Użycie klauzuli UNQUE w deklaracji pola tabeli instrukcji CREATE TABLE oznacza, że: - (6)"
,w tym polu nie może pojawić się wartość NULL,
,w żadnym innym polu tej tabeli nie można użyć klauzuli UNIQUE,
,wartości w tym polu nie mogą się powtarzać,+
,na tej kolumnie (polu) zostanie automatycznie zalozony indeks,+
99,"Użycie klauzuli PRIMARY KEY deklaracji pola tabeli instrukcji CREATE TABLE powoduje, że: - (4)"
,To pole staje się polem klucz głównego,+
,W żadnym innym polu tej tabeli nie może zostać użyta klauzula PRIMARY KEY,+
,"W polu yum nie może wystąpić wartość ""NULL""",+
,Na tej kolumnie (polu) zostanie automatycznie założony indeks,+
100,Perspektywa (View) w PL/SQL - (3)
,Jest obiektem przechowującym rekordy wybrane poleceniem SELECT,
,Jest obiektem utworzonym w oparciu o instrukcję SELECT,+
,"Może zostać użyta tak, jak by była tabelą np. w instrukcji SELECT, INSERT, UPDATE",+
,Wiersze (rekordy) perspektywy nie są przechowywane w bazie danych,+
101,Instrukcja SELECT Table_Name FROM User_Tables - (3)
,Wypisuje nazwy kolumn z tabeli User_Tables,
,Wypisuje wszystkie rekordy z perspektywy User_Tables,
,Zwraca nazwy tabel znajdujących się w obszarze tabel użytkownika,+
,Zwraca nazwy tabel utworzonych przez użytkownika,
102,Sekwencja (SEQUENCE) to - (3)
,Ciąg instrukcji SQL,
,"Obiekt PL/SQL przechowujący procedury, funkcje i wyzwalacze",
,"Obiekt przechowywyany w bazie danych, służący do generowania kluczy głównych i jednozancznych",+
,Typ zmiennej w PL/SQL której użycie generuje autonumerację rekordów tabeli,
103,Instrukcja COMMIT - (1)
,"Dotyczy ostatnio wydanego polecenia SELECT, UPDATE albo DELETE",
,"Dotyczy wszystkich poleceń SELECT, INSERT, UPDATE albo DELETE wydanych od ostatniego polecenia ROLLBACK",
,Dokonuje trwałej zmiany w zawartości table bazy danych,+
,"Wszystkich poleceń INSERT, UPDATE albo DELETE wydanych od ostatniego polecenia COMMIT albo ROLLBACK",+
104,Instrukcja CREATE PROCEDURE może się pojawić: - (3)
,"w bloku PL/SQL,",
,"w SQL*Plusie,",+
,"w innej procedurze,",
,w wyzwalaczu.,
105,Instrukcja CREATE FUNCTION może się pojawić: - (0)
,"w bloku PL/SQL,",
,"w SQL*Plusie,",+
,"w innej funkcji,",
,w wyzwalaczu.,
106,Instrukcja CREATE TRIGGER może się pojawić: - (4)
,"w bloku PL/SQL,",
,"w SQL*Plusie,",+
,"w procedurze,",
,w innym wyzwalaczu.,
107,Instrukcja CREATE PACKAGE może się pojawić: - (0)
,"w bloku PL/SQL,",
,w wyzwalaczu,
,"w innym pakiecie,",
,"w skrypcie SQL*Plus,",+
108,Instrukcja CREATE PACKAGE BODY może się pojawić: - (5)
,"w bloku PL/SQL,",
,w wyzwalaczu,
,"w skrypcie SQL*Plus,",+
,w pakiecie.,
109,W wyzwalaczu można: - (0)
,"poprosić użytkownika o podanie wartości zmiennej,",
,"na ekranie użytkownika formularza wypisać ostrzeżenie,",
,"sprawdzić czy wartości wstawiane do tabeli są poprawne,",+
,utworzyć nową tabelę.,
110,W wyzwalaczu można: - (3)
,"poprosić użytkownika o podanie hasła,",
,"na ekranie użytkownika wypisać komunikat o błędzie,",
,utworzyć nową tabelę.,
,porównać ze sobą nową i starą wartość w kolumnie przy UPDATE,+
111,W wyzwalaczu można: - (8)
,"użyć instrukcji COMMIT,",
,"nie dopuścić do wprowadzenia zmian,",+
,"sprawdzić czy wartości wstawiane do tabeli są poprawne,",+
,utworzyć nową tabelę.,
112,W wyzwalaczu można: - (0)
,"poprosić użytkownika o podanie wartości zmiennej,",
,"do kolumny klucza głównego tworzonego wiersza wygenerować nową wartość,",+
,"sprawdzić która jest godzina,",+
,utworzyć nową tabelę.,
113,W wyzwalaczu można: - (2)
,"zrealizować akcję referencyjną NULLIFY,",
,"przekazać informację o błędzie do aplikacji klienta,",+
,"sprawdzić czy w danej kolumnie wstawianego wiersza występuje NULL,",+
,utworzyć nowy wyzwalacz.,
114,Które mechanizmy wchodzą w skład oprogramowania strony serwera bazy danych: - (0)
,"formularze,",
,"deklaratywne więzy spójności,",+
,"wyzwalacze wierszowe,",+
,obiekty OCX.,
115,Wśród więzów spójności encji znajdują się: - (1)
,"więzy klucza głównego,",+
,"więzy klucza obcego,",
,"zdarzenia formularzowe,",
,więzy CHECK.,+
116,Wśród więzów spójności encji znajdują się: - (0)
,"więzy klucza obcego,",
,"więzy klucza jednoznacznego,",+
,"blokady,",
,więzy NOT NULL,+
117,Wśród więzów spójności referencyjnej znajdują się: - (0)
,"więzy klucza głównego,",
,"więzy klucza obcego,",+
,"więzy NOT NULL,,",
,więzy CHECK,
118,Do zapewnienia więzów spójności referencyjnej służą: - (4)
,"wyzwalacze,",+
,"klauzula CHECK,",
,"klauzula REFERENCES,",+
,indeksy.,
119,Do zapewnienia więzów spójności encji służą: - (2)
,"wyzwalacze,",+
,"klauzula CHECK,",+
,"klauzula REFERENCES,",
,indeksy.,
120,Które akcje referencyjne są dostępne w Oracle: - (3)
,"RESTRICTED,",
,"NULLIFY,",
,"DEFAULT,",
,CASCADE.,+
121,SQL*Plus stanowi: - (6)
,"część serwera bazy danych,",
,"część serwera aplikacji Oracle,",
,"język interakcyjnych poleceń do bazy danych,",+
,klient korzystający z serwera bazy danych.,
122,Deklaracja VARIABLE Klient VARCHAR2(30) jest częścią: - (0)
,"SQL,",
,"PL/SQL,",
,"SQL*Plus,",+
,prekompilatora do języka C.,
123,"Instrukcja ACCEPT Klient PROMPT ""Podaj nazwisko klienta: "" jest częścią: - (0)"
,"SQL,",
,"PL/SQL,",
,"SQL*Plus,",+
,prekompilatora do języka C.,
124,Kursor w PL/SQL służy do: - (0)
,"Wprowadzania danych z klawiatury,",
,Przeglądania i wykonywania operacji na rekordach zwróconych przez zapytanie.,+
,Przyspieszenia wykonywania zapytań.,
,Obsługi wyjątków.,
125,Obiektowa baza danych w Oracle obejmuje: - (0)
,"wielowymiarowość,",
,"kolekcje,",+
,"typy obiektowe,",+
,dziedziczenie.,+
126,Obiektowa baza danych w Oracle obejmuje: - (0)
,"tabele zagnieżdżone,",+
,"hermetyzację obiektów,",
,"perspektywy obiektowe,",+
,transformację STAR.,
127,W kolumnach bazy danych Oracle można przechowywywać: - (0)
,"duże obiekty binarne,",+
,"duże obiekty znakowe,",+
,"wskaźniki do obiektów,",+
,zagnieżdżone tabele.,+
128,Czy są takie instrukcje w Oracle: - (0)
,"CREATE TYPE,",+
,"CREATE CLASS,",
,"CREATE METHOD,",
,CREATE SERVLET.,
129,W bazie danych Oracle można zmieniać zawartość następujących typów obiektów: - (2)
,"BLOB,",+
,"CLOB,",+
,"BFILE,",+
,NCLOB.,+
130,Standard SQL określa następujące interfejsy programistyczne: - (0)
,"PL/SQL,",
,"Java,",
,"moduły,",+
,osadzony SQL.,+
131,Standard SQL określa następujące interfejsy programistyczne: - (4)
,"PL/SQL,",
,"Interfejs Poziomu Wywołań CLI,",
,"moduły,",+
,osadzony SQL.,+
132,Standard SQL określa następujące interfejsy programistyczne: - (3)
,osadzony SQL,+
,"ODBC,",
,JDBC.,
,Interfejs Poziomu Wywołań CLI,
133,Osadzanie instrukcji SQL w interfejsie osadzonego SQL dotyczy: - (0)
,"cache serwera bazy danych,",
,"słownika danych,",
,"języka programowania,",
,PL/SQL.,+
134,Instrukcje osadzonego SQL są poprzedzane słowem kluczowym: - (2)
,"EXEC,",
,"DO,",
,"EXEC SQL,",+
,BEGIN.,
135,"Instrukcja ""SQLExecDirect(hstmt, (SQLCHAR *) sqlsource, SQL_NTS)"" dotyczy języka: - (0)"
,"PL/SQL,",
,"osadzonego SQL,",
,"Interfejsu Poziomu Wywołań,",+
,ASP.,
136,Interfejs JDBC może być używany w: - (2)
,"apletach,",+
,"serwletach,",+
,"kodzie składowanym w bazie danych,",
,programach aplikacyjnych.,+
137,W JDBC zbiór wyników zapytania znajduje się na obiekcie klasy: - (0)
,"Rowset,",
,"RecordSet,",
,"ResultSet,",+
,QuerySet.,
138,"W zapytaniu ""SELECT HelloWorld() FROM Dual;"" identyfikator HelloWorld może oznaczać: - (3)"
,funkcję PL/SQL;,+
,klasę Java;,
,funkcję PL/SQL związaną z metodą klasy Java;,
,procedurę PL/SQL.,+
139,Jako obiekty bazy danych Oracle można przechowywać kod języków: - (0)
,"C,",+
,"Java,",+
,"PL/SQL,",+
,VisualBasic.,+
140,Aplikacja wykonywana za pomocą internetowego modułu PLSQL wykorzystuje: - (0)
,serwer WWW Apache;,
,powiązania ODBC,
,"powiązania bazodanowe,",+
,powiązania JDBC.,
141,Aplikacja wykonywana za pomocą internetowego modułu PLSQL wykorzystuje: - (0)
,"powiązania bazodanowe,",+
,"transformację STAR,",
,"procedury PL/SQL,",
,migawki.,
142,Aplikacja wykonywana za pomocą Internet Information Servera wykorzystuje: - (0)
,"ODBC,",
,"powiązania bazodanowe,",+
,"wielowymiarowość,",
,skrypty Visual Basica.,
143,Aplikacja ASP jest przechowywana jako: - (0)
,"plik tekstowy,",+
,"plik binarny,",
,"procedura w bazie danych,",
,biblioteka DLL.,
144,W internetowej aplikacji PL/SQL przy dostępie do danych w bazie danych wykorzystuje się: - (2)
,"protokół HTTP,",
,"metodę GET,",
,"instrukcję SELECT,",+
,kursor.,
145,Serwlet jest to: - (7)
,"aplet przechowywany po stronie serwera aplikacji,",
,"obiekt klasy HttpServlet,",+
,"metoda klasy HttpServlet,",
,rodzaj sterownika JDBC.,
146,Serwlet przy dostępie do danych w bazie danych wykorzystuje: - (1)
,serwer WWW Apache,
,protokół HTTP,
,"powiązania bazodanowe,",+
,powiązania JDBC.,
147,Programista aplikacji internetowej w postaci serwletu opracowuje kod metod: - (4)
,doGet,+
,doPost,+
,HttpServletRequest,+
,HttpServletResponse,+
148,Które metody dotyczą zachowania spójności danych przy współbieżnym dostępie: - (0)
,blokowanie pesymistyczne,+
,przyznawanie uprawnień do obiektów w bazie danych,
,autoryzowanie dostępu,
,blokowanie optymistyczne,+
149,Które metody dotyczą możliwości odtworzenia danych po awarii dysku: - (3)
,dziennik,+
,repliki,
,udostępnienie danych na stronach WWW,
,kopia zapasowa,+
150,Które metody dotyczą ochrony danych przed nieautoryzowanym dostępem: - (0)
,kopia zapasowa,
,wprowadzenie kont i haseł,+
,słownik danych (metadane),
,przyznawanie uprawnień do wykonywania operacji na obiektach,+
151,Własność szeregowalności transakcji oznacza: - (0)
,konieczność specyfikowania kolejności wykonywania transakcji,
,wymuszenie na systemie szeregowego wykonywania transakcji,
,współbieżną realizację transakcji tak jakby były one wykonywane jedna po drugiej,+
,ustalenie priorytetu wykonywania transakcji,
152,Dane słownika danych (metadane) są przechowywane w relacyjnej bazie danych: - (0)
,w specjalnym pliku binarnym w tym samym katalogu co pliki systemu zarządzania bazą danych,
,nie muszą być przechowywane w bazie danych,
,w specjalnej bazie danych (budowanej przez administratora),
,w specjalnych tabelach w tej samej bazie danych,+
153,Do odtworzenia stanu bazy danych po awarii procesu użytkownika służą: - (0)
,"dziennik powtórzeń,",
,"pliki śladu,",
,"segmenty wycofań,",+
,kopia zapasowa.,
154,Do odtworzenia stanu bazy danych po awarii procesu serwera służą: - (0)
,"dziennik powtórzeń,",+
,"pliki śladu,",
,"segmenty wycofań,",+
,kopia zapasowa.,
155,Do odtworzenia stanu bazy danych po awarii dysku z danymi służą: - (2)
,"dziennik powtórzeń,",+
,"pliki śladu,",
,"segmenty wycofań,",+
,kopia zapasowa.,+
156,Przy otwieraniu bazy danych przy powtórnym włączeniu komputera po nagłej awarii zasilania są używane: - (0)
,"dziennik powtórzeń,",+
,"pliki śladu,",
,"segmenty wycofań,",+
,kopia zapasowa.,
157,Rezerwowa baza danych pracująca w trybie STANDBY otrzymuje z głównej bazy danych: - (0)
,"pliki z danymi,",
,"dziennik powtórzeń,",
,"zarchiwizowany dziennik powtórzeń,",+
,nic nie otrzymuje.,
158,Poziom izolacji transakcji READ UNCOMMITED obejmuje następujące własności: - (0)
,"brak traconych modyfikacji,",+
,"nie-zatwierdzony odczyt,",+
,"nie-powtarzalny odczyt,",+
,fantomy.,+
159,Poziom izolacji transakcji READ COMMITED obejmuje następujące własności: - (2)
,"brak traconych modyfikacji,",+
,"nie-zatwierdzony odczyt,",
,"nie-powtarzalny odczyt,",+
,fantomy.,+
,"widać zmiany wprowadzane przez inne transakcje, o ile tamte zakończyły się zatwierdzeniem",+
160,Poziom izolacji transakcji REPEATABLE READ obejmuje następujące własności: - (0)
,"brak traconych modyfikacji,",+
,"nie-zatwierdzony odczyt,",
,"nie-powtarzalny odczyt,",
,fantomy.,+
161,Poziom izolacji transakcji SERIALIZABLE obejmuje następujące własności: - (0)
,"brak traconych modyfikacji,",+
,"nie-zatwierdzony odczyt,",
,"nie-powtarzalny odczyt,",
,fantomy.,
162,Domyślny poziom izolacji w Oracle obejmuje następujące własności: - (0)
,"brak traconych modyfikacji,",+
,"nie-zatwierdzony odczyt,",
,"nie-powtarzalny odczyt,",+
,fantomy.,+
163,Przy normalnym otwieraniu bazy danych system korzysta z informacji zapisanych w: - (0)
,"pliku kontrolnym,",
,"pliku śladu,",
,"dzienniku powtórzeń,",
,pliku inicjalizacyjnym instancji.,+
164,Które mechanizmy są używane do zapewnienia wielowersyjności w bazie danych: - (8)
,"dziennik powtórzeń,",+
,"pliki śladu,",
,"segmenty wycofań,",+
,kopia zapasowa.,
165,Które mechanizmy są używane w bazie danych przy wykonywaniu transakcji typu READ ONLY: - (0)
,"dziennik powtórzeń,",+
,"pliki śladu,",
,"segmenty wycofań,",+
,kopia zapasowa.,
166,Które mechanizmy są używane do zapewnienia spójności bazy danych w środowisku współbieżnie wykonywanych transakcji: - (0)
,"blokady,",+
,"perspektywy,",
,"role,",
,wielowersyjność.,+
167,Przy wykonywaniu operacji ROLLBACK są wykorzystywane: - (1)
,"dziennik powtórzeń,",+
,"segmenty wycofań,",+
,"kopia zapasowa,",
,pliki śladu.,
168,Terminy atomowość-spójność-izolacja-trwałość oznaczane skrótem ACID dotyczą: - (0)
,"modelu wykonywania transakcji w bazie danych,",+
,"modelu obliczeń w rozproszonej bazie danych,",
,"modelu wykonywania pojedynczej instrukcji SQL,",
,modelu sprawdzania więzów spójności.,
169,Czy jest prawdą: - (0)
,Z każdą stroną w puli buforów jest wiązany licznik odwołań i bit aktualizacji.,+
,Zmieniana strona jest natychmiast zapisywana na dysk.,
,Z jednej strony w puli buforów może korzystać tylko jeden użytkownik.,
,Zawsze najlepszą strategią zastępowania stron jest LRU.,
170,Czy format stron z rekordami zmiennej długości zapewnia: - (0)
,Przesuwanie rekordów po stronie bez zmiany identyfikatora rekordu.,+
,Utrzymywanie spójnej puli wolnych miejsc.,+
,Zamianę miejscami dwóch rekordów na stronie.,+
,Używanie zewnętrznych wskaźników do rekordu.,+
171,Indeks pogrupowany jest gdy: - (2)
,"pozycje danych są podzielone na osobne partycje,",
,"rekordy danych i pozycje danych indeksu są w związku 1-1,",
,"pozycje danych indeksu z tą samą wartością klucza wyszukiwania znajdują się na tej samej stronie,",
,uporządkowanie zapisu rekordów danych jest takie samo jak uporządkowanie zapisu pozycji danych indeksu.,+
172,Indeks na B+ drzewie zapewnia: - (1)
,"możliwość wypisywania pozycji danych indeksu w kolejności uporządkowanej względem wartości klucza wyszukiwania,",+
,"realizację zapytań równościowych względem wartości klucza wyszukiwania,",+
,"realizację zapytań zakresowych względem wartości klucza wyszukiwania,",+
,aktualizację wartości klucza wyszukiwania.,+
173,Indeks haszowany zapewnia: - (2)
,"możliwość wypisywania pozycji danych w kolejności uporządkowanej względem wartości klucza wyszukiwania,",+
,"realizację zapytań równościowych względem wartości klucza wyszukiwania,",
,"realizację zapytań zakresowych względem wartości klucza wyszukiwania,",
,aktualizację wartości klucza wyszukiwania.,+
174,Sortowania w bazie danych używa się przy: - (0)
,"wykonywaniu klauzuli GROUP BY,",+
,"budowie początkowego indeksu na B+-drzewie,",+
,"wykonywaniu klauzuli DISTINCT,",+
,metodzie złączania Nested Loops Join.,
175,Sortowania w bazie danych używa się przy: - (0)
,"wykonywaniu klauzuli ORDER BY,",+
,"budowie początkowego indeksu na B+-drzewie,",+
,"wykonywaniu klauzuli UNION DISTINCT,",+
,metodzie złączania Sort-Merge.,+
176,Sortowania w bazie danych używa się przy: - (0)
,"wykonywaniu klauzuli WHERE,",
,"budowie początkowego indeksu na B+-drzewie,",+
,"wykonywaniu klauzuli UNION ALL,",
,metodzie złączania Index Nested Loops Join.,
177,Sortowania w bazie danych używa się przy: - (0)
,"wykonywaniu klauzuli EXCEPT,",+
,"wykonywaniu klauzuli GROUP BY,",+
,"wykonywaniu klauzuli HAVING,",
,metodzie złączania Nested Loops Join.,
178,Sortowania w bazie danych używa się przy: - (3)
,"wykonywaniu klauzuli EXCEPT,",+
,"budowie początkowego indeksu na B+-drzewie,",+
,"wykonywaniu funkcji agregującej AVG,",
,metodzie złączania Hash Join.,
179,"Sortowanie za pomocą B+-drzewa jest lepsze niż sortowanie zewnętrzne, gdy indeks jest: - (0)"
,"rzadki,",
,"gęsty,",
,"pogrupowany,",+
,wewnętrzny.,+
180,"Strategia optymalizacyjna ""tylko-indeks"" stosuje się, gdy: - (0)"
,"na tabeli jest założony tylko jeden indeks,",
,"zamiast rozważać tabelę można rozważyć jeden z jej indeksów,",+
,"wszystkie kolumny występujące na liście SELECT występują w kluczu wyszukiwania jednego z indeksów,",+
,można usunąć tabelę zostawiając w bazie danych tylko jej indeks.,
181,W metodzie Hash Join występuje liczba funkcji haszujących równa: - (0)
,"0,",
,"1,",
,"2,",+
,3.,
182,Które stwierdzenia stanowią dobre heurystyki optymalizacji zapytań: - (0)
,"Selekcje wykonuj tak wcześnie, jak tylko możliwe.",+
,"Staraj się związać selekcje z iloczynem kartezjańskim, w celu zidentyfikowania rodzaju złączenia relacji.",+
,"Wybierz plan wykonania działający ""w miejscu"" bez pomocniczej relacji.",+
,Wyszukuj wspólne podwyrażenia i wykonuj je tylko raz.,+
183,Które stwierdzenia stanowią dobre heurystyki optymalizacji zapytań: - (0)
,Przed przystąpieniem do realizacji zapytania dokonaj analizy możliwych opcji z oszacowaniem ich kosztu.,+
,"Staraj się związać selekcje z iloczynem kartezjańskim, w celu zidentyfikowania rodzaju złączenia relacji.",+
